pandaid,computingsite,cpuconsumptiontime,corecount,noutputdatafiles,outputfilebytes,files_info
1,Base,96,4,3,313919162,"{""lsst_SingleFrame_Cal_1_0000.fits"":101819136,""lsst_SingleFrame_Cal_1_0001.fits"":78049165,""lsst_SingleFrame_Cal_1_0002.fits"":105512756}"
2,USDF,147,4,2,119761821,"{""lsst_SingleFrame_Cal_2_0000.fits"":108874383}"
3,Base,41,1,2,36131026,"{""lsst_Prompt_ISR_3_0000.fits"":40145585}"
4,FrDF,150,4,2,246065804,"{""lsst_SingleFrame_Cal_4_0000.fits"":80086105,""lsst_SingleFrame_Cal_4_0001.fits"":143610081}"
5,USDF,82,4,1,229906981,"{""lsst_SingleFrame_Cal_5_0000.fits"":119872182,""lsst_SingleFrame_Cal_5_0001.fits"":89134165}"
6,Base,35,1,2,37881876,"{""lsst_Prompt_ISR_6_0000.fits"":42090974}"
7,UKDF,33,1,1,35658333,"{""lsst_Prompt_ISR_7_0000.fits"":39620371}"
8,USDF,199,4,2,72465066,"{""lsst_DiffImaging_8_0000.fits"":64754732,""lsst_DiffImaging_8_0001.fits"":96210892,""lsst_DiffImaging_8_0002.fits"":80584596}"
9,USDF,612,8,2,972632656,"{""lsst_Coadd_9_0000.fits"":98407794,""lsst_Coadd_9_0001.fits"":120760526,""lsst_Coadd_9_0002.fits"":95327649,""lsst_Coadd_9_0003.fits"":138043750,""lsst_Coadd_9_0004.fits"":124109153,""lsst_Coadd_9_0005.fits"":99752444,""lsst_Coadd_9_0006.fits"":103488896,""lsst_Coadd_9_0007.fits"":94159318,""lsst_Coadd_9_0008.fits"":83479030,""lsst_Coadd_9_0009.fits"":117330339,""lsst_Coadd_9_0010.fits"":110640514,""lsst_Coadd_9_0011.fits"":104167034,""lsst_Coadd_9_0012.fits"":115385802,""lsst_Coadd_9_0013.fits"":97557915,""lsst_Coadd_9_0014.fits"":143117094,""lsst_Coadd_9_0015.fits"":77088090,""lsst_Coadd_9_0016.fits"":100341849,""lsst_Coadd_9_0017.fits"":122108115}"
10,FrDF,411,8,1,160170594,"{""lsst_ForcedPhotom_10_0000.fits"":46937628,""lsst_ForcedPhotom_10_0001.fits"":41526515,""lsst_ForcedPhotom_10_0002.fits"":42896630,""lsst_ForcedPhotom_10_0003.fits"":43589886,""lsst_ForcedPhotom_10_0004.fits"":33026350,""lsst_ForcedPhotom_10_0005.fits"":37468925,""lsst_ForcedPhotom_10_0006.fits"":43838870,""lsst_ForcedPhotom_10_0007.fits"":69224382,""lsst_ForcedPhotom_10_0008.fits"":46960330,""lsst_ForcedPhotom_10_0009.fits"":55782192,""lsst_ForcedPhotom_10_0010.fits"":38540919,""lsst_ForcedPhotom_10_0011.fits"":46697824,""lsst_ForcedPhotom_10_0012.fits"":62220455,""lsst_ForcedPhotom_10_0013.fits"":46634383,""lsst_ForcedPhotom_10_0014.fits"":57740325,""lsst_ForcedPhotom_10_0015.fits"":40509202,""lsst_ForcedPhotom_10_0016.fits"":47258154}"
11,USDF,89,4,2,106830387,"{""lsst_DiffImaging_11_0000.fits"":78661196,""lsst_DiffImaging_11_0001.fits"":83361718,""lsst_DiffImaging_11_0002.fits"":77022784,""lsst_DiffImaging_11_0003.fits"":117055593}"
